id_tiempo,fecha,año,semestre,trimestre,mes,mes_nombre,dia_semana,semana,fecha_inicio_año,fecha_fin_año,fecha_inicio_semestre,fecha_fin_semestre,fecha_inicio_trimestre,fecha_fin_trimestre,fecha_inicio_mes,fecha_fin_mes,fecha_inicio_semana,fecha_fin_semana
20200302,2020-03-02 00:00:00,2020,1,1,3,Marzo,Lunes,10,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-02 00:00:00,2020-03-08 00:00:00
20200303,2020-03-03 00:00:00,2020,1,1,3,Marzo,Martes,10,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-02 00:00:00,2020-03-08 00:00:00
20200304,2020-03-04 00:00:00,2020,1,1,3,Marzo,Miércoles,10,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-02 00:00:00,2020-03-08 00:00:00
20200305,2020-03-05 00:00:00,2020,1,1,3,Marzo,Jueves,10,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-02 00:00:00,2020-03-08 00:00:00
20200306,2020-03-06 00:00:00,2020,1,1,3,Marzo,Viernes,10,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-02 00:00:00,2020-03-08 00:00:00
20200307,2020-03-07 00:00:00,2020,1,1,3,Marzo,Sábado,10,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-02 00:00:00,2020-03-08 00:00:00
20200308,2020-03-08 00:00:00,2020,1,1,3,Marzo,Domingo,10,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-02 00:00:00,2020-03-08 00:00:00
20200309,2020-03-09 00:00:00,2020,1,1,3,Marzo,Lunes,11,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-09 00:00:00,2020-03-15 00:00:00
20200310,2020-03-10 00:00:00,2020,1,1,3,Marzo,Martes,11,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-09 00:00:00,2020-03-15 00:00:00
20200311,2020-03-11 00:00:00,2020,1,1,3,Marzo,Miércoles,11,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-09 00:00:00,2020-03-15 00:00:00
20200312,2020-03-12 00:00:00,2020,1,1,3,Marzo,Jueves,11,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-09 00:00:00,2020-03-15 00:00:00
20200313,2020-03-13 00:00:00,2020,1,1,3,Marzo,Viernes,11,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-09 00:00:00,2020-03-15 00:00:00
20200314,2020-03-14 00:00:00,2020,1,1,3,Marzo,Sábado,11,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-09 00:00:00,2020-03-15 00:00:00
20200315,2020-03-15 00:00:00,2020,1,1,3,Marzo,Domingo,11,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-09 00:00:00,2020-03-15 00:00:00
20200316,2020-03-16 00:00:00,2020,1,1,3,Marzo,Lunes,12,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-16 00:00:00,2020-03-22 00:00:00
20200317,2020-03-17 00:00:00,2020,1,1,3,Marzo,Martes,12,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-16 00:00:00,2020-03-22 00:00:00
20200318,2020-03-18 00:00:00,2020,1,1,3,Marzo,Miércoles,12,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-16 00:00:00,2020-03-22 00:00:00
